"purchase_id";"customer_id";"product_id";"purchase_date_m";"purchase_time_m";"quantity";"total_amount"
47;4;299;"2019-09-09";"20:40:10";3;47.43
48;4;80;"2020-10-17";"19:00:12";4;68.72
49;4;228;"2022-12-18";"23:56:51";5;69.15
50;4;94;"2020-06-13";"10:34:49";1;18.27
51;4;215;"2021-07-23";"19:01:46";2;36.54
52;5;234;"2021-05-04";"02:15:16";4;77.52
53;5;107;"2019-04-07";"22:42:53";2;30.58
54;5;275;"2018-10-22";"23:32:03";4;65.0
55;5;21;"2023-03-29";"05:15:25";5;85.9
56;5;343;"2019-06-13";"13:05:35";3;33.6
57;6;260;"2020-12-23";"07:39:43";5;68.05
58;6;270;"2020-09-21";"11:41:24";1;16.82
59;6;226;"2022-08-06";"06:50:36";5;78.25
60;6;350;"2022-01-29";"13:26:14";3;47.67
61;6;274;"2022-04-20";"00:51:20";2;39.42
62;6;447;"2023-02-15";"00:08:09";2;31.3
63;6;332;"2021-12-19";"21:35:50";1;13.09
64;6;357;"2022-10-02";"17:17:01";2;31.62
65;6;174;"2022-09-22";"17:28:26";2;28.82
66;6;427;"2021-04-04";"03:05:55";1;13.83
67;6;224;"2023-07-15";"03:20:02";4;61.6
68;7;329;"2022-12-24";"10:45:42";2;23.76
69;7;109;"2020-03-20";"10:21:56";4;73.08
70;7;362;"2023-02-19";"22:49:24";1;15.46
71;7;326;"2018-04-08";"17:06:48";2;27.22
72;7;115;"2021-11-14";"08:40:37";4;46.72
73;7;185;"2022-03-20";"23:35:48";2;30.0
74;7;114;"2022-07-09";"01:54:41";2;35.4
75;7;92;"2020-04-03";"11:11:39";1;13.67
76;7;155;"2021-07-13";"15:19:30";2;33.64
77;7;130;"2020-06-14";"09:09:05";3;48.75
78;7;83;"2019-06-05";"04:53:35";1;15.0
79;7;343;"2020-03-16";"00:03:53";4;44.8
80;7;188;"2020-10-27";"11:56:54";5;56.25
81;7;106;"2020-05-19";"09:55:45";2;30.8
82;7;482;"2019-08-14";"15:30:48";3;45.87
83;7;206;"2018-09-23";"07:26:50";4;63.88
84;8;475;"2018-12-02";"20:57:53";1;15.6
85;8;292;"2019-12-13";"17:07:40";2;26.18
86;8;271;"2020-07-14";"12:58:37";5;81.25
87;9;45;"2023-08-02";"23:47:27";1;15.0
88;9;195;"2023-01-25";"02:31:30";1;16.25
89;9;290;"2022-02-25";"15:06:31";2;42.72
90;9;80;"2022-02-10";"04:45:01";3;51.54
91;9;20;"2023-05-30";"21:06:38";3;45.0
92;9;326;"2022-06-14";"22:54:22";2;27.22
93;9;321;"2022-12-24";"10:06:34";4;67.32
94;9;90;"2023-02-19";"23:17:23";2;23.76
95;9;143;"2023-09-04";"10:11:53";3;46.38
96;9;107;"2022-12-06";"04:26:48";5;76.45
97;9;222;"2022-11-29";"05:25:16";4;47.52
98;9;358;"2022-03-25";"00:53:39";3;46.2
99;9;391;"2023-07-19";"22:27:46";2;16.3
100;9;438;"2023-03-10";"23:32:46";5;56.25
101;9;43;"2023-10-21";"05:33:49";4;44.8
102;9;376;"2022-02-11";"20:59:16";3;45.72
103;9;144;"2023-01-08";"06:25:35";4;65.0
104;9;304;"2023-06-01";"17:08:12";4;68.72
105;9;103;"2023-06-27";"05:42:52";3;47.67
106;10;120;"2022-03-09";"11:43:24";4;78.84
107;10;286;"2020-04-09";"11:41:07";2;40.64
108;10;5;"2021-11-09";"19:48:57";5;81.25
109;10;26;"2022-06-11";"15:19:12";4;64.4
110;10;427;"2023-06-24";"19:08:12";5;69.15
111;10;296;"2023-01-11";"03:40:46";4;60.0
112;10;179;"2022-09-09";"09:55:02";2;42.9
113;10;297;"2020-08-01";"08:42:50";5;88.5
114;10;235;"2022-02-18";"10:09:08";5;79.05
115;10;186;"2023-05-16";"23:52:50";5;86.95
116;10;114;"2023-07-21";"21:11:38";5;88.5
117;11;92;"2023-03-12";"14:51:33";5;68.35
118;11;291;"2021-05-03";"12:56:00";2;26.4
119;11;367;"2019-02-11";"00:45:16";2;32.5
120;11;489;"2022-01-06";"14:07:20";2;24.28
121;11;236;"2020-03-06";"10:11:34";2;32.16
122;11;212;"2020-06-27";"05:54:46";4;72.96
123;11;387;"2019-11-06";"00:02:27";1;14.96
124;11;85;"2021-07-17";"10:46:52";3;48.75
125;11;369;"2021-02-20";"03:24:30";5;75.0
126;11;198;"2023-01-18";"07:41:20";5;77.0
127;11;394;"2023-05-06";"04:49:12";3;33.75
128;12;442;"2023-07-09";"02:32:48";3;45.0
129;12;58;"2019-08-09";"10:25:30";4;62.4
130;12;57;"2019-12-17";"07:30:31";4;63.56
131;12;253;"2023-05-28";"05:17:52";4;45.0
132;12;363;"2023-08-26";"07:21:24";3;44.61
133;12;212;"2023-01-22";"01:02:05";1;18.24
134;13;324;"2022-01-31";"13:20:13";2;36.48
135;13;483;"2022-12-08";"19:38:50";5;76.45
136;13;144;"2022-08-16";"04:36:31";2;32.5
137;13;257;"2022-01-15";"19:30:14";5;80.4
138;13;332;"2021-06-22";"02:34:10";5;65.45
139;13;465;"2021-06-13";"02:06:44";3;44.61
140;14;321;"2022-01-15";"15:38:21";5;84.15
141;14;439;"2016-09-20";"04:47:08";4;73.08
142;14;370;"2017-05-13";"10:17:56";2;35.62
143;14;349;"2018-11-19";"16:08:00";2;29.92
144;14;481;"2018-06-02";"19:00:54";4;48.6
145;14;366;"2016-11-14";"19:48:31";1;21.45
146;14;479;"2022-12-21";"16:54:26";1;20.32
147;15;360;"2023-04-14";"01:45:15";2;24.28
148;15;344;"2023-03-19";"07:56:13";3;48.24
149;15;20;"2023-04-06";"21:12:01";1;15.0
150;15;221;"2023-06-24";"13:20:59";2;32.5
151;15;71;"2023-06-15";"18:21:07";5;77.0
152;15;190;"2023-06-23";"20:34:15";1;16.08
153;15;358;"2023-03-20";"17:07:21";2;30.8
154;15;148;"2023-03-15";"17:31:54";5;60.75
155;15;114;"2023-10-04";"15:19:58";1;17.7
156;15;325;"2022-11-28";"06:49:42";3;36.45
157;15;302;"2023-05-17";"12:38:18";2;38.76
158;15;232;"2023-03-22";"16:48:44";3;51.54
159;15;99;"2022-12-23";"11:49:26";3;46.38
160;15;141;"2023-04-01";"07:53:35";2;27.34
161;16;386;"2021-10-21";"10:30:59";1;15.29
162;16;279;"2020-12-31";"17:58:32";4;60.0
163;16;366;"2018-09-08";"17:06:35";1;21.45
164;16;330;"2023-09-26";"07:14:35";1;15.46
165;17;368;"2021-06-19";"14:07:59";1;16.83
166;17;154;"2022-12-16";"20:10:47";1;11.2
167;17;477;"2022-01-14";"19:27:27";2;35.62
168;17;344;"2021-03-18";"09:17:10";2;32.16
169;17;476;"2022-09-09";"06:03:44";1;17.81
170;17;380;"2023-01-14";"20:16:28";3;59.13
171;17;86;"2022-10-27";"18:17:34";2;31.3
172;17;283;"2022-12-25";"04:38:32";2;34.04
173;17;161;"2023-04-11";"15:49:13";3;50.46
174;17;341;"2023-05-09";"12:51:14";3;46.8
175;17;146;"2021-04-10";"14:14:21";3;53.1
176;18;8;"2023-06-15";"11:01:33";5;68.05
177;18;344;"2023-07-13";"01:19:17";1;16.08
178;18;49;"2022-10-20";"05:12:16";2;39.42
179;18;359;"2022-03-09";"07:16:56";5;92.7
180;19;298;"2022-03-21";"18:36:54";3;53.82
181;19;143;"2023-05-28";"11:57:22";5;77.3
182;19;334;"2023-07-16";"13:15:21";3;57.09
183;19;312;"2023-01-17";"18:58:04";4;78.84
184;19;438;"2022-03-04";"20:09:25";4;45.0
185;19;169;"2021-01-05";"04:09:30";2;31.3
186;19;128;"2021-07-11";"01:18:23";2;29.92
187;19;205;"2022-11-27";"23:42:16";2;31.3
188;19;185;"2022-10-23";"22:13:44";1;15.0
189;20;436;"2023-02-04";"15:59:35";4;78.84
190;20;163;"2022-12-15";"20:39:45";2;31.3
191;20;479;"2022-01-16";"12:54:33";5;101.6
192;20;457;"2021-02-18";"02:43:20";2;33.64
193;20;457;"2021-05-25";"07:19:14";1;16.82
194;20;475;"2020-12-25";"11:32:19";5;78.0
195;20;295;"2022-09-22";"23:28:19";1;15.29
196;20;44;"2021-06-12";"23:11:18";4;76.12
197;20;422;"2021-03-18";"20:14:04";1;15.81
198;20;305;"2021-04-07";"00:46:30";5;59.4
199;20;152;"2021-12-08";"06:21:41";2;33.66
200;20;331;"2023-06-22";"08:04:28";5;91.2
201;20;357;"2021-01-18";"12:24:17";4;63.24
202;20;298;"2022-02-24";"15:19:16";2;35.88
203;20;410;"2021-05-21";"02:51:53";4;32.6
204;20;94;"2021-10-01";"06:01:06";2;36.54
205;20;338;"2022-01-08";"10:08:54";1;15.81
206;21;292;"2021-09-10";"10:06:58";4;52.36
207;21;131;"2019-01-20";"20:34:15";5;79.85
208;21;41;"2023-07-29";"00:41:34";1;17.94
209;21;137;"2023-06-11";"04:56:19";1;16.1
210;21;77;"2019-02-20";"11:04:13";4;48.56
211;21;415;"2021-02-25";"07:21:27";2;32.5
212;21;224;"2022-04-02";"02:21:53";1;15.4
213;21;46;"2020-10-13";"05:02:06";5;78.25
214;21;387;"2019-05-10";"21:45:12";5;74.8
215;21;117;"2023-04-08";"04:25:17";3;44.88
216;21;408;"2022-01-03";"21:49:13";4;63.88
217;21;437;"2022-09-10";"08:32:55";2;39.42
218;22;164;"2021-05-27";"07:42:00";5;59.4
219;22;221;"2019-07-10";"02:04:31";2;32.5
220;22;48;"2019-09-21";"07:54:35";2;24.36
221;22;246;"2019-06-25";"22:01:30";2;33.66
222;22;118;"2019-09-21";"12:36:56";3;35.64
223;22;395;"2020-07-02";"02:43:37";2;38.76
224;22;5;"2022-03-06";"15:43:58";1;16.25
225;23;63;"2023-08-09";"03:21:44";3;52.17
226;23;414;"2023-10-27";"10:31:26";1;21.45
227;23;455;"2023-01-10";"22:25:54";4;68.08
228;23;240;"2023-02-21";"15:50:41";1;18.27
229;23;154;"2023-03-07";"19:33:15";2;22.4
230;23;298;"2023-04-15";"20:31:51";5;89.7
231;23;306;"2023-05-31";"15:49:29";4;64.32
232;23;158;"2023-01-01";"23:57:25";2;35.86
233;23;158;"2023-04-17";"11:58:48";4;71.72
234;23;160;"2023-02-13";"03:38:18";2;32.16
235;23;23;"2023-08-08";"03:51:49";1;17.94
236;24;262;"2023-01-06";"13:11:55";4;85.44
237;24;32;"2023-09-29";"02:54:03";1;14.96
238;24;300;"2021-06-15";"13:24:17";5;60.9
239;24;261;"2022-12-23";"04:51:25";4;65.0
240;24;483;"2023-03-14";"21:35:05";3;45.87
241;24;481;"2022-10-02";"14:03:19";5;60.75
242;24;345;"2021-07-24";"09:04:50";1;18.27
243;24;99;"2023-04-27";"22:06:10";4;61.84
244;24;251;"2023-02-08";"15:22:24";5;68.35
245;25;486;"2018-03-06";"20:39:21";3;59.13
246;25;16;"2019-05-30";"15:34:37";3;54.81
247;25;469;"2022-11-22";"08:28:04";3;46.95
248;25;350;"2022-01-24";"02:00:34";1;15.89
249;25;16;"2018-03-06";"14:24:05";4;73.08
250;25;36;"2020-10-16";"09:43:09";2;24.28
251;25;62;"2021-11-02";"10:08:30";4;74.16
252;25;213;"2016-05-28";"18:54:49";5;89.7
253;25;236;"2018-10-06";"14:24:17";4;64.32
254;26;380;"2023-09-12";"11:49:56";2;39.42
255;26;331;"2023-05-21";"07:47:45";1;18.24
256;26;328;"2020-04-01";"16:05:26";1;12.14
257;26;274;"2023-02-13";"18:55:07";1;19.71
258;26;306;"2022-10-21";"07:54:10";5;80.4
259;26;301;"2020-04-09";"10:38:17";5;69.15
260;26;115;"2022-07-01";"17:01:34";5;58.4
261;26;10;"2022-10-14";"14:18:33";3;50.49
262;27;338;"2022-01-28";"01:39:57";3;47.43
263;27;491;"2022-02-06";"18:19:02";4;52.36
264;27;100;"2023-01-14";"07:54:23";3;53.43
265;27;131;"2021-06-17";"09:56:55";4;63.88
266;27;98;"2021-04-16";"11:49:35";2;30.92
267;27;187;"2021-08-02";"00:38:52";4;63.24
268;27;149;"2021-09-07";"06:47:56";4;70.8
269;27;355;"2022-03-01";"09:18:33";1;17.7
270;27;339;"2023-07-11";"17:19:07";4;64.16
271;27;415;"2021-12-19";"16:50:04";2;32.5
272;27;425;"2021-07-23";"17:31:18";2;27.66
273;27;336;"2023-08-02";"23:39:45";3;33.75
274;27;201;"2023-06-26";"00:17:20";5;67.95
275;27;484;"2021-08-14";"17:05:11";1;12.14
276;27;7;"2022-06-28";"13:05:05";2;42.9
277;27;242;"2021-09-28";"16:35:07";4;60.0
278;28;51;"2018-08-31";"08:37:40";1;17.02
279;28;348;"2021-08-06";"01:48:18";3;40.77
280;28;398;"2019-02-13";"18:15:22";1;16.82
281;29;322;"2021-04-10";"14:29:44";4;54.36
282;29;240;"2020-03-24";"18:25:17";4;73.08
283;29;334;"2021-11-15";"03:23:25";2;38.06
284;29;119;"2022-03-29";"03:18:56";2;16.3
285;29;403;"2020-11-19";"11:53:07";3;44.88
286;29;336;"2021-01-31";"15:50:10";3;33.75
287;29;470;"2022-03-24";"14:08:21";4;65.0
288;29;474;"2023-01-11";"10:39:32";1;16.83
289;29;256;"2023-04-10";"18:48:18";5;96.9
290;29;48;"2021-05-11";"12:17:57";4;48.72
291;29;275;"2021-01-05";"13:02:31";1;16.25
292;29;180;"2020-09-02";"15:51:28";5;75.0
293;29;394;"2023-03-25";"05:58:34";3;33.75
294;30;74;"2020-08-04";"13:23:58";4;62.4
295;30;437;"2023-05-26";"07:07:32";5;98.55
296;30;212;"2017-11-03";"09:13:42";1;18.24
297;31;408;"2023-09-19";"19:55:51";5;79.85
298;31;428;"2022-09-19";"21:18:43";1;12.18
299;31;370;"2022-10-15";"02:06:45";4;71.24
300;31;147;"2023-04-15";"04:27:26";4;81.28
301;31;468;"2023-03-22";"03:29:41";5;80.5
302;31;408;"2023-03-06";"19:02:54";4;63.88
303;31;459;"2021-10-26";"15:56:22";4;48.6
304;31;285;"2022-03-20";"00:54:42";2;26.18
305;31;495;"2023-05-18";"10:57:12";5;74.8
306;31;69;"2022-02-04";"18:57:48";1;12.18
307;31;74;"2023-10-28";"11:29:25";1;15.6
308;32;96;"2021-08-30";"05:28:50";4;71.24
309;32;165;"2023-09-04";"03:30:49";2;34.78
310;32;76;"2021-08-01";"02:12:29";2;35.4
311;32;3;"2021-07-08";"02:09:39";4;44.8
312;32;358;"2022-07-17";"21:22:44";4;61.6
313;32;320;"2022-02-01";"08:27:21";1;18.27
314;32;13;"2022-12-25";"14:18:35";5;80.2
315;32;102;"2021-05-23";"07:04:55";4;48.6
316;32;136;"2021-08-03";"17:58:15";1;21.45
317;32;60;"2022-01-23";"13:42:00";4;64.4
318;32;150;"2023-10-03";"12:11:48";1;13.67
319;32;229;"2023-06-26";"14:50:47";4;59.48
320;33;156;"2021-11-30";"02:57:27";4;68.08
321;33;443;"2023-02-03";"17:35:41";3;64.35
322;33;189;"2023-09-19";"09:16:28";5;91.2
323;33;398;"2023-02-01";"17:07:18";2;33.64
324;33;65;"2022-11-02";"10:01:05";1;21.36
325;33;313;"2022-07-16";"01:57:48";1;20.32
326;33;283;"2022-06-28";"09:12:00";5;85.1
327;33;105;"2022-03-07";"07:23:15";1;16.82
328;33;264;"2023-02-25";"14:59:43";3;57.09
329;33;123;"2022-09-10";"09:11:20";4;48.56
330;33;352;"2022-10-11";"07:23:18";2;32.08
331;33;474;"2023-03-08";"02:26:58";2;33.66
332;33;155;"2022-03-25";"16:16:43";4;67.28
333;33;237;"2023-03-14";"05:06:38";4;81.28
334;33;187;"2022-09-12";"23:43:24";4;63.24
335;33;40;"2023-07-31";"00:55:08";5;77.3
336;33;220;"2022-02-02";"14:04:39";5;74.8
337;33;141;"2022-02-12";"13:07:26";5;68.35
338;34;408;"2018-04-29";"12:22:28";4;63.88
339;34;243;"2021-08-12";"08:40:47";3;55.62
340;34;435;"2019-08-29";"11:58:44";1;13.67
341;34;100;"2020-07-27";"07:42:16";5;89.05
342;34;206;"2018-08-04";"18:53:29";5;79.85
343;34;478;"2023-10-27";"22:28:41";1;15.81
344;34;391;"2018-03-24";"03:28:33";1;8.15
345;34;397;"2022-07-01";"11:46:34";5;77.3
346;34;439;"2022-02-13";"19:06:54";4;73.08
347;34;40;"2021-12-01";"11:52:36";4;61.84
348;34;303;"2023-05-20";"10:00:28";4;55.32
349;34;298;"2017-12-15";"04:55:32";1;17.94
350;34;405;"2016-06-21";"22:30:45";3;58.14
351;34;211;"2022-12-16";"22:20:27";1;15.0
352;34;3;"2021-06-07";"10:04:52";4;44.8
353;34;3;"2018-12-13";"08:35:29";3;33.6
354;34;204;"2018-02-20";"09:00:56";2;36.54
355;34;324;"2018-02-14";"06:57:08";3;54.72
356;35;479;"2023-03-16";"18:15:42";2;40.64
357;35;87;"2022-11-27";"22:32:28";4;61.84
358;35;450;"2022-04-16";"16:34:51";5;106.8
359;35;280;"2022-12-23";"21:02:34";1;17.39
360;35;452;"2020-12-22";"20:12:11";5;89.7
361;35;5;"2023-03-12";"20:14:08";3;48.75
362;35;344;"2023-05-17";"23:02:15";3;48.24
363;35;422;"2022-07-18";"19:53:42";5;79.05
364;35;338;"2023-01-23";"08:12:21";4;63.24
365;35;218;"2023-07-01";"14:31:02";4;60.0
366;35;103;"2023-06-18";"14:04:03";2;31.78
367;35;184;"2021-01-17";"20:29:34";2;34.04
368;35;328;"2021-06-29";"00:21:25";1;12.14
369;35;255;"2022-02-28";"02:41:53";3;51.06
370;35;197;"2023-03-07";"16:44:26";5;91.2
371;36;143;"2021-08-27";"13:30:12";3;46.38
372;36;353;"2022-05-30";"03:14:14";5;96.9
373;36;497;"2023-02-28";"05:51:37";3;46.38
374;36;299;"2017-03-18";"23:59:55";3;47.43
375;36;397;"2020-08-01";"10:37:12";1;15.46
376;36;88;"2020-04-19";"01:21:44";4;63.24
377;36;215;"2015-06-11";"02:36:28";5;91.35
378;36;235;"2022-09-23";"11:37:06";1;15.81
379;36;474;"2018-02-12";"08:12:24";3;50.49
380;36;480;"2019-11-16";"08:27:20";5;92.7
381;36;86;"2021-11-14";"17:27:27";2;31.3
382;36;464;"2016-02-16";"14:34:21";4;54.68
383;36;449;"2022-09-02";"21:29:47";4;76.12
384;36;175;"2023-08-14";"11:23:15";1;17.39
385;37;57;"2022-06-26";"07:54:53";1;15.89
386;38;350;"2020-06-20";"08:23:28";2;31.78
387;39;184;"2022-10-24";"18:27:55";4;68.08
388;39;58;"2022-04-19";"08:15:57";5;78.0
389;40;296;"2021-06-16";"14:15:34";5;75.0
390;41;258;"2019-06-25";"10:54:25";2;32.16
391;41;417;"2021-08-04";"23:08:41";2;36.48
392;41;339;"2018-02-15";"20:06:15";5;80.2
393;41;279;"2023-10-09";"11:03:57";1;15.0
394;41;272;"2021-01-10";"01:29:12";4;69.56
395;41;138;"2017-09-08";"05:07:03";2;32.2
396;41;147;"2023-07-19";"11:59:13";3;60.96
397;41;481;"2020-07-01";"01:01:16";4;48.6
398;41;134;"2018-05-17";"04:34:32";1;16.83
399;42;4;"2017-08-12";"10:28:40";4;64.16
400;42;233;"2023-10-13";"19:39:25";3;46.95
401;42;431;"2019-11-12";"03:12:04";5;68.05
402;42;199;"2019-06-09";"10:31:39";3;35.64
403;42;295;"2020-03-13";"13:28:58";4;61.16
404;42;469;"2020-01-09";"05:55:23";1;15.65
405;42;57;"2017-07-30";"08:05:33";3;47.67
406;42;324;"2016-11-22";"09:58:50";3;54.72
407;42;94;"2022-12-21";"03:42:07";3;54.81
408;42;174;"2021-02-03";"02:59:40";2;28.82
409;42;297;"2016-02-24";"15:12:59";3;53.1
410;42;37;"2023-08-31";"18:42:00";2;30.8
411;42;89;"2019-10-22";"04:48:12";4;68.72
412;42;103;"2022-09-09";"08:48:49";1;15.89
413;42;237;"2017-09-11";"14:57:27";5;101.6
414;43;483;"2020-03-22";"17:52:04";4;61.16
415;43;85;"2022-03-22";"12:51:07";4;65.0
416;43;219;"2018-03-08";"03:19:20";4;64.32
417;43;251;"2022-07-07";"11:48:41";2;27.34
418;43;306;"2019-12-02";"21:39:04";3;48.24
419;43;248;"2017-01-28";"17:19:00";5;77.0
420;43;153;"2018-08-03";"18:34:08";4;61.16
421;43;32;"2021-09-17";"22:00:44";3;44.88
422;43;181;"2020-04-13";"03:27:12";5;77.3
423;43;36;"2020-05-15";"15:58:43";4;48.56
424;43;261;"2020-08-18";"15:46:40";1;16.25
425;43;275;"2017-01-15";"03:01:54";1;16.25
426;43;60;"2020-08-01";"19:48:00";3;48.3
427;43;283;"2022-11-22";"07:58:51";4;68.08
428;43;204;"2021-02-28";"20:31:55";2;36.54
429;43;364;"2021-02-14";"12:02:42";5;107.25
430;43;279;"2020-04-25";"17:03:31";2;30.0
431;43;467;"2023-06-27";"04:10:22";5;91.2
432;44;65;"2022-08-22";"16:07:33";5;106.8
433;45;11;"2018-10-02";"17:22:46";5;95.15
434;45;47;"2020-12-01";"22:42:20";3;41.49
435;45;33;"2023-08-29";"11:25:29";5;80.5
436;45;312;"2018-08-26";"15:40:56";5;98.55
437;45;222;"2018-08-18";"16:29:09";1;11.88
438;46;452;"2021-08-02";"19:12:13";3;53.82
439;46;454;"2022-04-09";"12:06:47";4;78.84
440;46;284;"2020-10-27";"00:01:15";4;77.52
441;46;206;"2021-03-22";"19:58:35";1;15.97
442;46;346;"2020-11-15";"15:03:58";3;52.17
443;46;405;"2023-05-16";"11:23:12";1;19.38
444;46;405;"2020-11-21";"16:50:49";2;38.76
445;46;248;"2020-04-10";"08:37:07";5;77.0
446;46;286;"2021-09-10";"01:14:26";1;20.32
447;46;52;"2019-05-15";"10:21:13";4;59.48
448;46;297;"2020-09-25";"14:52:15";5;88.5
449;46;482;"2021-07-17";"10:18:33";3;45.87
450;46;244;"2022-03-19";"20:59:27";1;15.24
451;46;448;"2023-05-06";"16:24:45";2;27.66
452;46;248;"2023-11-01";"04:37:26";4;61.6
453;47;473;"2018-08-29";"05:00:11";5;80.5
454;47;220;"2019-04-27";"20:41:27";2;29.92
455;47;325;"2018-10-31";"08:37:46";1;12.15
456;47;137;"2018-06-12";"04:50:33";3;48.3
457;47;144;"2017-03-02";"01:11:49";1;16.25
458;47;252;"2018-05-17";"18:58:04";1;14.96
459;47;131;"2023-04-23";"20:40:19";4;63.88
460;47;461;"2020-07-25";"05:55:58";5;76.45
461;47;495;"2018-06-22";"13:28:38";4;59.84
462;47;429;"2022-09-04";"02:20:23";2;35.62
463;48;300;"2022-04-22";"19:55:41";4;48.72
464;48;495;"2022-04-01";"17:34:38";4;59.84
465;48;333;"2022-05-25";"08:56:50";2;26.18
466;48;481;"2022-07-18";"17:57:56";3;36.45
467;48;449;"2023-10-23";"04:08:32";5;95.15
468;48;388;"2021-07-12";"10:28:38";3;48.24
469;48;270;"2022-12-14";"22:35:35";4;67.28
470;48;391;"2021-11-07";"01:25:37";2;16.3
471;48;244;"2021-11-22";"17:07:27";3;45.72
472;48;457;"2021-11-07";"09:44:26";1;16.82
473;48;490;"2021-11-06";"11:20:33";2;24.3
474;48;495;"2021-12-28";"20:18:06";3;44.88
475;48;472;"2022-04-18";"03:43:48";5;79.45
476;48;115;"2022-06-18";"20:12:27";4;46.72
477;48;119;"2021-10-12";"18:34:00";1;8.15
478;48;385;"2023-03-26";"20:17:18";5;84.15
479;49;181;"2021-03-23";"04:56:02";1;15.46
480;49;227;"2020-07-20";"06:38:12";4;60.0
481;49;295;"2022-11-09";"10:24:09";1;15.29
482;49;315;"2018-12-15";"23:51:42";3;50.46
483;49;301;"2017-04-03";"15:03:14";3;41.49
484;49;227;"2017-04-07";"02:33:39";2;30.0
485;49;493;"2018-03-21";"04:20:01";2;32.2
486;49;23;"2022-08-11";"21:35:37";3;53.82
487;50;43;"2021-08-22";"10:30:47";4;44.8
488;50;82;"2020-09-01";"21:44:23";3;53.79
489;50;257;"2022-11-27";"23:29:45";3;48.24
490;51;457;"2022-12-03";"09:31:20";5;84.1
491;52;127;"2018-06-07";"02:05:10";4;52.36
492;53;119;"2022-05-24";"22:53:00";4;32.6
493;53;278;"2019-03-18";"03:22:07";4;52.8
494;53;409;"2020-04-07";"16:40:18";4;52.8
495;53;105;"2021-06-02";"10:50:58";3;50.46
496;53;454;"2021-02-08";"07:29:14";4;78.84
497;53;167;"2022-06-15";"06:33:25";1;14.41
498;53;191;"2022-01-24";"15:42:03";2;26.4
499;53;485;"2021-11-09";"11:59:18";3;39.27
500;54;219;"2018-11-20";"13:54:41";2;32.16
501;54;307;"2018-03-09";"13:05:35";5;91.2
502;54;217;"2021-12-23";"14:14:59";4;68.72
503;54;440;"2020-06-12";"02:04:37";5;80.5
504;54;394;"2019-06-06";"18:33:15";5;56.25
505;54;377;"2023-09-28";"07:32:15";1;15.81
506;54;185;"2023-03-20";"01:20:09";2;30.0
507;54;298;"2022-12-29";"16:12:19";1;17.94
508;54;191;"2020-10-21";"03:25:21";5;66.0
509;55;402;"2021-06-10";"07:42:20";4;69.56
510;55;44;"2020-02-10";"09:36:29";4;76.12
511;55;377;"2021-08-20";"09:08:24";1;15.81
512;55;273;"2023-01-06";"08:32:26";2;23.36
513;55;69;"2020-10-13";"22:47:54";4;48.72
514;55;467;"2020-05-29";"17:56:56";1;18.24
